Feature,Importance
Feature 2,0.20996820206389724
Feature 3,0.14653470959061152
Feature 20,0.10590863593294456
Feature 7,0.0833384211626301
Feature 11,0.06329820747700982
Feature 12,0.05997109925792559
Feature 15,0.049020207869442105
Feature 14,0.045224292846123296
Feature 0,0.029019311682983173
Feature 8,0.025751686489391107
Feature 17,0.023159902492190187
Feature 18,0.02249035986571935
Feature 6,0.02104311026524863
Feature 9,0.019861833472522707
Feature 19,0.019459567484559834
Feature 5,0.014503240238419406
Feature 10,0.0144991648214826
Feature 16,0.013965457874335173
Feature 1,0.013816351831246304
Feature 4,0.01091984295693953
Feature 13,0.008246394324377583
