Feature,Importance
Feature 2,0.3456327141047661
Feature 3,0.25873308745060575
Feature 7,0.10291045061078281
Feature 20,0.059793837778218235
Feature 0,0.040164067043033005
Feature 14,0.03920345241941178
Feature 12,0.02537963236920966
Feature 6,0.021976919046810452
Feature 19,0.01910711105658855
Feature 16,0.01581908814314387
Feature 15,0.014714189156593074
Feature 8,0.012640295628522272
Feature 11,0.011691468675793766
Feature 9,0.009188622766844876
Feature 17,0.007280532862657251
Feature 1,0.004115754572143358
Feature 18,0.0037857412292500647
Feature 10,0.002877296003842088
Feature 4,0.0022742020580570517
Feature 5,0.0017252950658444136
Feature 13,0.0009862419578815615
