Feature,Importance
Feature 2,0.16169370802662833
Feature 20,0.13461640744589035
Feature 3,0.11284442270501828
Feature 12,0.062389011425808584
Feature 7,0.05929933760197524
Feature 11,0.05340435797964928
Feature 15,0.05109037344520832
Feature 14,0.03923955170625105
Feature 17,0.03786949891148439
Feature 9,0.03536375746161303
Feature 5,0.035243292103375526
Feature 0,0.03504303819579302
Feature 18,0.030621085364583116
Feature 1,0.02557232455692038
Feature 6,0.024960925275292437
Feature 19,0.024864750845651082
Feature 10,0.023444221107088853
Feature 16,0.017696487486422774
Feature 4,0.014917081392156521
Feature 8,0.012059912438090339
Feature 13,0.007766454525099244
