Feature,Importance
Feature 2,0.3456327141047652
Feature 3,0.258697133389817
Feature 7,0.10291045061078337
Feature 20,0.059875453268489136
Feature 0,0.04022904230969701
Feature 14,0.03920345241941139
Feature 12,0.02537963236920886
Feature 6,0.022176225035626426
Feature 19,0.019107111056588594
Feature 16,0.014847397896476848
Feature 15,0.014714189156592705
Feature 8,0.01264029562852236
Feature 11,0.011691468675793916
Feature 9,0.009087982297293202
Feature 17,0.008252223109323975
Feature 1,0.004115754572143363
Feature 18,0.0037757450026580023
Feature 10,0.0026779900150258936
Feature 4,0.0022742020580570426
Feature 5,0.0017252950658440194
Feature 13,0.0009862419578817085
