Feature,Importance
Feature 2,0.14946909100152064
Feature 3,0.14356724502950616
Feature 20,0.10677188375494244
Feature 7,0.07452139130228345
Feature 11,0.047771826973952165
Feature 6,0.047602044092768234
Feature 14,0.040717044948148824
Feature 0,0.04011444382568772
Feature 15,0.03664063041018906
Feature 12,0.03518538271760207
Feature 9,0.03304041625773987
Feature 17,0.032292257494631764
Feature 18,0.032216593753532745
Feature 8,0.028812361652460115
Feature 10,0.02642007384328291
Feature 19,0.02498579170038258
Feature 13,0.023317126292126438
Feature 4,0.022673774276839514
Feature 16,0.022574353624670244
Feature 1,0.01594587918311267
Feature 5,0.015360387864620479
