Feature,Importance
Feature 2,0.14740646890039388
Feature 3,0.1393972217917747
Feature 20,0.10859603450024645
Feature 7,0.07763954417858147
Feature 11,0.04855066015483885
Feature 6,0.047691239962982024
Feature 0,0.04247674045753236
Feature 14,0.038773152162439095
Feature 12,0.037511510858187866
Feature 17,0.03350973052609235
Feature 15,0.033486430687864076
Feature 9,0.032589550141634865
Feature 18,0.032434001747690414
Feature 8,0.029023038331451666
Feature 10,0.02575235854343465
Feature 19,0.023600237091526238
Feature 4,0.02345917095029396
Feature 13,0.02329698738558453
Feature 16,0.022765018434632807
Feature 5,0.01633194686386288
Feature 1,0.015708956328954877
