Feature,Importance
Feature 2,1.6206468430908172
Feature 19,0.6612235451831445
Feature 14,0.6193995872489728
Feature 0,0.44883696764902137
Feature 7,0.4256194174303428
Feature 16,0.365878060713115
Feature 15,0.3568840266621694
Feature 20,0.35655070375393444
Feature 6,0.32371132857727747
Feature 3,0.20261941398962074
Feature 9,0.19731000103897017
Feature 18,0.12415065961706831
Feature 4,0.11904820878980073
Feature 5,0.10684038037816498
Feature 10,0.0905660567283061
Feature 12,0.06863568161140435
Feature 13,0.0471215762202048
Feature 17,0.04587841426096374
Feature 1,0.039744807917513204
Feature 11,0.029597296607312612
Feature 8,0.0015214193961345852
