Feature,Importance
Feature 2,0.21022134393013947
Feature 3,0.14671137476891188
Feature 20,0.08146288088548975
Feature 7,0.08052609276013518
Feature 12,0.07122739157020301
Feature 11,0.06353238863527123
Feature 15,0.055001586465777026
Feature 14,0.04880948630501747
Feature 18,0.044352988277761005
Feature 6,0.025481817943120447
Feature 0,0.023551954860544302
Feature 9,0.01966995520517888
Feature 19,0.01948302832853948
Feature 10,0.01892262742496648
Feature 17,0.01818604182667547
Feature 1,0.017363679247924646
Feature 5,0.014520725635086258
Feature 8,0.01127336020766724
Feature 16,0.010436274023633826
Feature 13,0.010097328633033769
Feature 4,0.009167673064923219
