Feature,Importance
Feature 20,0.1249420625548745
Feature 3,0.12070047947218608
Feature 2,0.11826959904539804
Feature 7,0.06907727130689491
Feature 11,0.05426290944403562
Feature 6,0.046420293925991715
Feature 14,0.0429720905894354
Feature 15,0.04236345593939737
Feature 12,0.04116777346118046
Feature 17,0.03922027612909968
Feature 18,0.037158537260084716
Feature 0,0.036256314665950945
Feature 9,0.03529599959299716
Feature 8,0.029868751823262246
Feature 4,0.028622384674206056
Feature 10,0.02662845992316821
Feature 13,0.026115908555631118
Feature 16,0.023996243966062362
Feature 19,0.022079365734261412
Feature 5,0.018856143314884593
Feature 1,0.015725678620997663
