Feature,Importance
Feature 2,0.34563271410476476
Feature 3,0.25869713338981654
Feature 7,0.10291045061078215
Feature 20,0.05979383777821853
Feature 0,0.04020219421381583
Feature 14,0.0392034524194114
Feature 12,0.025379632369208715
Feature 6,0.022176225035626558
Feature 19,0.01910711105658897
Feature 16,0.014847397896477554
Feature 15,0.014714189156592714
Feature 8,0.01273876298808352
Feature 11,0.011691468675793976
Feature 9,0.009087982297292005
Feature 17,0.008252223109323938
Feature 1,0.004115754572143357
Feature 18,0.0037857412292501688
Feature 10,0.0026779900150259318
Feature 4,0.002274202058057044
Feature 5,0.0017252950658444087
Feature 13,0.000986241957881801
