Feature,Importance
Feature 2,0.1616937080266283
Feature 20,0.1409585060921456
Feature 3,0.11284442270501827
Feature 15,0.06475522730254554
Feature 7,0.06250315552214344
Feature 11,0.056750203696342705
Feature 12,0.050986229326305164
Feature 14,0.03923955170625105
Feature 17,0.03779358660304159
Feature 10,0.033324006741835666
Feature 5,0.03158951131413312
Feature 9,0.0288917572396128
Feature 19,0.027723940117696265
Feature 0,0.026854654462758712
Feature 8,0.025935579959141808
Feature 6,0.023006213753668518
Feature 1,0.020978353553329006
Feature 18,0.01960818925360549
Feature 4,0.01736358917327388
Feature 16,0.009142196652149194
Feature 13,0.008057416798373856
