Feature,Importance
Feature 2,0.3456327141047648
Feature 3,0.2587352605605987
Feature 7,0.10291045061078159
Feature 20,0.059870818190604067
Feature 0,0.04019308824890556
Feature 14,0.03920345241941189
Feature 12,0.0253796323692093
Feature 6,0.021976919046810622
Feature 19,0.01910711105658867
Feature 16,0.014847397896477469
Feature 15,0.014714189156593156
Feature 8,0.012676249689313628
Feature 11,0.011691468675793428
Feature 9,0.009087982297292772
Feature 17,0.00825222310932419
Feature 1,0.004115754572143347
Feature 18,0.0037422529097613615
Feature 10,0.002877296003842024
Feature 4,0.0022742020580570417
Feature 5,0.0017252950658448794
Feature 13,0.0009862419578813657
