Feature,Importance
Feature 2,0.15251570925927407
Feature 3,0.14271364228964503
Feature 20,0.10556548258309126
Feature 7,0.0733508877101994
Feature 11,0.045296191608551827
Feature 6,0.0449745024348664
Feature 14,0.04194705624610707
Feature 0,0.03946998201614607
Feature 12,0.03623226085539529
Feature 15,0.035247511180363574
Feature 17,0.03468735253733923
Feature 9,0.03411549969835975
Feature 18,0.03222355891737551
Feature 8,0.028930103445354474
Feature 10,0.02526981375736555
Feature 19,0.02500994867593669
Feature 4,0.024142831925529337
Feature 13,0.022771661843189732
Feature 16,0.022017614726818343
Feature 5,0.016888948305469657
Feature 1,0.016629439983621937
